Major,Major_category,Median,Unemployment_rate,ROI_Score,salary_gap
AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,40000,0.077249576,37131.59966934162,27000
PHYSICAL SCIENCES,Physical Sciences,40000,0.035353535,38634.14635465556,25000
MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,40000,0.0,40000.0,0
CHEMISTRY,Physical Sciences,39000,0.0539724,37002.866488723994,19900
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,38400,0.029479503,37300.40266765758,22500
BUSINESS MANAGEMENT AND ADMINISTRATION,Business,38000,0.072218341,35440.54279519175,21000
MARKETING AND MARKETING RESEARCH,Business,38000,0.061215064,35808.010354440274,20000
POLITICAL SCIENCE AND GOVERNMENT,Social Science,38000,0.101174601,34508.605597596776,22000
GEOGRAPHY,Social Science,38000,0.113458628,34127.89576946904,20000
MICROBIOLOGY,Biology & Life Science,38000,0.066775872,35621.353085871066,20400
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,37500,0.099723375,34099.48433623138,25000
BIOCHEMICAL SCIENCES,Biology & Life Science,37400,0.080531385,34612.59942949274,21000
BOTANY,Biology & Life Science,37000,0.0,37000.0,14000
COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,36400,0.151849807,31601.342274652998,22000
GEOLOGY AND EARTH SCIENCE,Physical Sciences,36200,0.075448568,33660.373054678705,19000
HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business,36000,0.059569649,33976.05814207312,17000
PRE-LAW AND LEGAL STUDIES,Law & Public Policy,36000,0.071965016,33583.18551694228,16800
MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,36000,0.08141125,33289.83307691685,19000
PUBLIC ADMINISTRATION,Law & Public Policy,36000,0.1594906,31048.117164554846,37000
GEOSCIENCES,Physical Sciences,36000,0.024373731,35143.42364564208,20000
SOCIAL PSYCHOLOGY,Psychology & Social Work,36000,0.029649596,34963.35077472317,11000
ENVIRONMENTAL SCIENCE,Biology & Life Science,35600,0.078584681,33006.21696851265,15200
COMMUNICATIONS,Communications & Journalism,35000,0.075176976,32552.78040849714,18000
CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,35000,0.082452199,32333.9913137356,19000
COMMERCIAL ART AND GRAPHIC DESIGN,Arts,35000,0.096797577,31911.084354993975,20000
JOURNALISM,Communications & Journalism,35000,0.069176442,32735.47622741205,16900
MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,35000,0.055806815,33150.003866947955,26000
ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,35000,0.067960766,32772.73951841036,20000
AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,35000,0.063429289,32912.3904730068,19500
SPECIAL NEEDS EDUCATION,Education,35000,0.041507819,33605.12457180122,10000
PHYSIOLOGY,Biology & Life Science,35000,0.0691628,32735.89391624924,30000
CRIMINOLOGY,Social Science,35000,0.097243919,31898.10341523524,20000
NUTRITION SCIENCES,Health,35000,0.068700676,32750.049462867562,19000
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,35000,0.089626262,32121.10539237352,15000
COMMUNICATION TECHNOLOGIES,Computers & Mathematics,35000,0.119511469,31263.636835506146,20000
TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,35000,0.072724524,32627.202247126028,30000
NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,35000,0.066619195,32813.960375052135,17000
NEUROSCIENCE,Biology & Life Science,35000,0.048481675,33381.60392741246,14000
MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary,35000,0.070860927,32683.98268863161,19000
ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,35000,0.022228555,34238.91832096199,22000
FORESTRY,Agriculture & Natural Resources,35000,0.096725743,31913.174486321877,19400
SOIL SCIENCE,Agriculture & Natural Resources,35000,0.0,35000.0,25500
GENERAL EDUCATION,Education,34000,0.057359929,32155.559396085268,15000
HISTORY,Humanities & Liberal Arts,34000,0.095666912,31031.328616045677,22000
FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,34000,0.075566386,31611.251934383155,20000
INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,34000,0.083633531,31375.920943147707,21000
SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,34000,0.054082941,32255.526275517248,18950
COMMUNITY AND PUBLIC HEALTH,Health,34000,0.112144387,30571.57002043117,24000
MATHEMATICS TEACHER EDUCATION,Education,34000,0.016202835,33457.887371471465,10000
EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,34000,0.0,34000.0,6000
HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,33500,0.069779712,31314.858212603685,17000
MISCELLANEOUS BIOLOGY,Biology & Life Science,33500,0.058545455,31647.200261230162,25000
BIOLOGY,Biology & Life Science,33400,0.070724732,31193.82508108536,21000
SOCIOLOGY,Social Science,33000,0.084951001,30416.12014697795,19000
MASS MEDIA,Communications & Journalism,33000,0.089836827,30279.76223820522,20000
TREATMENT THERAPY PROFESSIONS,Health,33000,0.059821207,31137.32748697489,17000
HOSPITALITY MANAGEMENT,Business,33000,0.061169193,31097.77424531773,17000
LANGUAGE AND DRAMA EDUCATION,Education,33000,0.050306435,31419.401900551053,16000
LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,33000,0.10443571,29879.511954570902,15000
MISCELLANEOUS EDUCATION,Education,33000,0.059211951,31155.237597956446,15000
INTERDISCIPLINARY SOCIAL SCIENCES,Social Science,33000,0.092305816,30211.319501021495,16000
ECOLOGY,Biology & Life Science,33000,0.054475193,31295.188563056123,19000
SECONDARY TEACHER EDUCATION,Education,32500,0.05222898,30886.81324857637,13000
GENERAL MEDICAL AND HEALTH SERVICES,Health,32400,0.082101621,29941.73501935822,20000
PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,32200,0.096051684,29378.176659048862,24100
ART AND MUSIC EDUCATION,Education,32100,0.038637747,30905.86693264095,15000
ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,32000,0.08772359,29419.238760832613,18000
ELEMENTARY EDUCATION,Education,32000,0.046585715,30575.613197625196,14600
PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services,32000,0.051467273,30433.662389414185,19000
LIBERAL ARTS,Humanities & Liberal Arts,32000,0.078267592,29677.234331642605,17000
FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,32000,0.10577224,28939.05168029901,20000
GENERAL SOCIAL SCIENCES,Social Science,32000,0.103454715,28999.830772393772,23000
PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,32000,0.045454545,30608.695665482046,17100
SCIENCE AND COMPUTER TEACHER EDUCATION,Education,32000,0.047263682,30555.8194655317,11000
PSYCHOLOGY,Psychology & Social Work,31500,0.083810867,29064.11160758365,17000
MUSIC,Arts,31000,0.075959674,28811.488710124282,19700
PHYSICAL AND HEALTH EDUCATION TEACHING,Education,31000,0.074667496,28846.131585243365,16000
ART HISTORY AND CRITICISM,Humanities & Liberal Arts,31000,0.060298284,29237.05571139074,17000
FINE ARTS,Arts,30500,0.084186296,28131.696658154404,20000
FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,30000,0.067128194,28112.836085371015,17100
SOCIAL WORK,Psychology & Social Work,30000,0.06882792,28068.129058604685,10000
ANIMAL SCIENCES,Agriculture & Natural Resources,30000,0.050862499,28547.978473442512,18000
VISUAL AND PERFORMING ARTS,Arts,30000,0.102197419,27218.35442802829,18000
TEACHER EDUCATION: MULTIPLE LEVELS,Education,30000,0.03654583,28942.280342780403,13000
MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work,30000,0.05190783,28519.608985133233,19200
HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work,30000,0.037819026,28906.77396388376,11000
HUMANITIES,Humanities & Liberal Arts,30000,0.068584071,28074.534156143152,29000
THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,29000,0.062628297,27290.82227705818,16000
STUDIO ARTS,Arts,29000,0.089552239,26616.43835142447,19100
COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,29000,0.055676856,27470.52740161616,16000
MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,29000,0.059766764,27364.511687969865,19100
ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,28000,0.102791571,25390.110639501796,18000
COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,28000,0.047584,26728.166905947397,20000
EARLY CHILDHOOD EDUCATION,Education,28000,0.040104981,26920.359493980734,14000
OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,27500,0.107115726,24839.318378537784,15100
DRAMA AND THEATER ARTS,Arts,27000,0.07754113,25057.048170402555,15800
COMPOSITION AND RHETORIC,Humanities & Liberal Arts,27000,0.081742207,24959.736086178247,15000
ZOOLOGY,Biology & Life Science,26000,0.04632028,24848.987921748016,19000
EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,25000,0.065112187,23471.70589646065,10000
CLINICAL PSYCHOLOGY,Psychology & Social Work,25000,0.149048198,21757.137815031845,15000
COUNSELING PSYCHOLOGY,Psychology & Social Work,23400,0.053620646,22209.1319953121,6800
LIBRARY SCIENCE,Education,22000,0.104945718,19910.480344519514,2000
